Region,Cause,Year, 0-27 days, 1-59 months, 0-4 years
Western Pacific Region, HIV/AIDS,2006,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2005,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2004,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2003,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2002,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2001,0,0.1,0.1
Western Pacific Region, HIV/AIDS,2000,0,0.1,0.1
World, HIV/AIDS,2015,0,0.6,0.6
World, HIV/AIDS,2014,0,0.6,0.6
World, HIV/AIDS,2013,0,0.7,0.7
World, HIV/AIDS,2012,0,0.8,0.8
World, HIV/AIDS,2011,0,1,1
World, HIV/AIDS,2010,0,1.1,1.1
World, HIV/AIDS,2009,0,1.3,1.3
World, HIV/AIDS,2008,0,1.4,1.4
World, HIV/AIDS,2007,0,1.5,1.5
World, HIV/AIDS,2006,0,1.6,1.6
World, HIV/AIDS,2005,0,1.7,1.7
World, HIV/AIDS,2004,0,1.7,1.7
World, HIV/AIDS,2003,0,1.8,1.8
World, HIV/AIDS,2002,0,1.8,1.8
World, HIV/AIDS,2001,0,1.8,1.8
World, HIV/AIDS,2000,0,1.7,1.7
Africa Region, Malaria,2015,0,8.3,8.3
Africa Region, Malaria,2014,0,8.9,8.9
Africa Region, Malaria,2013,0,9.4,9.4
Africa Region, Malaria,2012,0,10.1,10.1
Africa Region, Malaria,2011,0,11.2,11.2
Africa Region, Malaria,2010,0,12.7,12.7
Africa Region, Malaria,2009,0,14.3,14.3
Africa Region, Malaria,2008,0,15.6,15.6
Africa Region, Malaria,2007,0,17.5,17.5
Africa Region, Malaria,2006,0,19.1,19.1
Africa Region, Malaria,2005,0,20.4,20.4
Africa Region, Malaria,2004,0,22.1,22.1
Africa Region, Malaria,2003,0,23.7,23.7
Africa Region, Malaria,2002,0,24.8,24.8
Africa Region, Malaria,2001,0,25.6,25.6
Africa Region, Malaria,2000,0,26.6,26.6
Region of the Americas, Malaria,2015,0,0,0
Region of the Americas, Malaria,2014,0,0,0
Region of the Americas, Malaria,2013,0,0,0
Region of the Americas, Malaria,2012,0,0,0
Region of the Americas, Malaria,2011,0,0,0
Region of the Americas, Malaria,2010,0,0,0
Region of the Americas, Malaria,2009,0,0,0
Region of the Americas, Malaria,2008,0,0,0
Region of the Americas, Malaria,2007,0,0,0
Region of the Americas, Malaria,2006,0,0,0
Region of the Americas, Malaria,2005,0,0,0
Region of the Americas, Malaria,2004,0,0,0
Region of the Americas, Malaria,2003,0,0,0
Region of the Americas, Malaria,2002,0,0,0
Region of the Americas, Malaria,2001,0,0,0
Region of the Americas, Malaria,2000,0,0,0
South-East Asia Region, Malaria,2015,0,0.3,0.3
South-East Asia Region, Malaria,2014,0,0.3,0.3
South-East Asia Region, Malaria,2013,0,0.3,0.3
South-East Asia Region, Malaria,2012,0,0.3,0.3
South-East Asia Region, Malaria,2011,0,0.3,0.3
South-East Asia Region, Malaria,2010,0,0.4,0.4
South-East Asia Region, Malaria,2009,0,0.4,0.4
South-East Asia Region, Malaria,2008,0,0.4,0.4
South-East Asia Region, Malaria,2007,0,0.3,0.3
South-East Asia Region, Malaria,2006,0,0.3,0.3
South-East Asia Region, Malaria,2005,0,0.4,0.4
South-East Asia Region, Malaria,2004,0,0.4,0.4
South-East Asia Region, Malaria,2003,0,0.4,0.4
South-East Asia Region, Malaria,2002,0,0.4,0.4
South-East Asia Region, Malaria,2001,0,0.4,0.4
South-East Asia Region, Malaria,2000,0,0.5,0.5
European Region, Malaria,2015,0,0,0
European Region, Malaria,2014,0,0,0
European Region, Malaria,2013,0,0,0
European Region, Malaria,2012,0,0,0
European Region, Malaria,2011,0,0,0
European Region, Malaria,2010,0,0,0
European Region, Malaria,2009,0,0,0
European Region, Malaria,2008,0,0,0
European Region, Malaria,2007,0,0,0
European Region, Malaria,2006,0,0,0
European Region, Malaria,2005,0,0,0
European Region, Malaria,2004,0,0,0
European Region, Malaria,2003,0,0,0
European Region, Malaria,2002,0,0,0
European Region, Malaria,2001,0,0,0
European Region, Malaria,2000,0,0,0
Eastern Mediterranean Region, Malaria,2015,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2014,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2013,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2012,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2011,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2010,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2009,0,0.1,0.1
Eastern Mediterranean Region, Malaria,2008,0,0.2,0.2
Eastern Mediterranean Region, Malaria,2007,0,0.3,0.3
Eastern Mediterranean Region, Malaria,2006,0,0.3,0.3
Eastern Mediterranean Region, Malaria,2005,0,0.4,0.4
Eastern Mediterranean Region, Malaria,2004,0,0.3,0.3
Eastern Mediterranean Region, Malaria,2003,0,0.4,0.4
Eastern Mediterranean Region, Malaria,2002,0,0.4,0.4
Eastern Mediterranean Region, Malaria,2001,0,0.4,0.4
Eastern Mediterranean Region, Malaria,2000,0,0.4,0.4
Western Pacific Region, Malaria,2015,0,0.1,0.1
Western Pacific Region, Malaria,2014,0,0.1,0.1
Western Pacific Region, Malaria,2013,0,0.1,0.1
Western Pacific Region, Malaria,2012,0,0.1,0.1
Western Pacific Region, Malaria,2011,0,0.1,0.1
Western Pacific Region, Malaria,2010,0,0.1,0.1
Western Pacific Region, Malaria,2009,0,0.1,0.1
Western Pacific Region, Malaria,2008,0,0.1,0.1
Western Pacific Region, Malaria,2007,0,0.1,0.1
Western Pacific Region, Malaria,2006,0,0.1,0.1
Western Pacific Region, Malaria,2005,0,0.1,0.1
Western Pacific Region, Malaria,2004,0,0.1,0.1
Western Pacific Region, Malaria,2003,0,0.1,0.1
Western Pacific Region, Malaria,2002,0,0.1,0.1
Western Pacific Region, Malaria,2001,0,0.1,0.1
Western Pacific Region, Malaria,2000,0,0.2,0.2
World, Malaria,2015,0,2.2,2.2
World, Malaria,2014,0,2.3,2.3
World, Malaria,2013,0,2.4,2.4
World, Malaria,2012,0,2.6,2.6
World, Malaria,2011,0,2.8,2.8
World, Malaria,2010,0,3.2,3.2
World, Malaria,2009,0,3.5,3.5
World, Malaria,2008,0,3.7,3.7
World, Malaria,2007,0,4.1,4.1
World, Malaria,2006,0,4.4,4.4
World, Malaria,2005,0,4.6,4.6
World, Malaria,2004,0,4.9,4.9
World, Malaria,2003,0,5.2,5.2
World, Malaria,2002,0,5.4,5.4
World, Malaria,2001,0,5.5,5.5
World, Malaria,2000,0,5.7,5.7
